State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Greene,Hispanic,Unknown,0
Mississippi,Greene,Unknown,African-American,1
Mississippi,Greene,Unknown,White,0
Mississippi,Greene,Unknown,American-Indian-Alaska-Native,0
Mississippi,Greene,Unknown,Asian,0
Mississippi,Greene,Unknown,Other,0
Mississippi,Greene,Unknown,Unknown,0
Mississippi,Grenada,Total,NA,5
Mississippi,Grenada,Non-Hispanic,African-American,1
Mississippi,Grenada,Non-Hispanic,White,3
Mississippi,Grenada,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Grenada,Non-Hispanic,Asian,0
Mississippi,Grenada,Non-Hispanic,Other,0
Mississippi,Grenada,Non-Hispanic,Unknown,0
Mississippi,Grenada,Hispanic,African-American,0
Mississippi,Grenada,Hispanic,White,0
Mississippi,Grenada,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Grenada,Hispanic,Asian,0
Mississippi,Grenada,Hispanic,Other,0
Mississippi,Grenada,Hispanic,Unknown,0
Mississippi,Grenada,Unknown,African-American,0
Mississippi,Grenada,Unknown,White,1
Mississippi,Grenada,Unknown,American-Indian-Alaska-Native,0
Mississippi,Grenada,Unknown,Asian,0
Mississippi,Grenada,Unknown,Other,0
Mississippi,Grenada,Unknown,Unknown,0
Mississippi,Hancock,Total,NA,13
Mississippi,Hancock,Non-Hispanic,African-American,1
Mississippi,Hancock,Non-Hispanic,White,12
Mississippi,Hancock,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Hancock,Non-Hispanic,Asian,0
Mississippi,Hancock,Non-Hispanic,Other,0
Mississippi,Hancock,Non-Hispanic,Unknown,0
Mississippi,Hancock,Hispanic,African-American,0
Mississippi,Hancock,Hispanic,White,0
Mississippi,Hancock,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Hancock,Hispanic,Asian,0
Mississippi,Hancock,Hispanic,Other,0
Mississippi,Hancock,Hispanic,Unknown,0
Mississippi,Hancock,Unknown,African-American,0
Mississippi,Hancock,Unknown,White,0
Mississippi,Hancock,Unknown,American-Indian-Alaska-Native,0
Mississippi,Hancock,Unknown,Asian,0
Mississippi,Hancock,Unknown,Other,0
Mississippi,Hancock,Unknown,Unknown,0
Mississippi,Harrison,Total,NA,8
Mississippi,Harrison,Non-Hispanic,African-American,2
Mississippi,Harrison,Non-Hispanic,White,5
Mississippi,Harrison,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Harrison,Non-Hispanic,Asian,0
Mississippi,Harrison,Non-Hispanic,Other,0
Mississippi,Harrison,Non-Hispanic,Unknown,0
Mississippi,Harrison,Hispanic,African-American,0
Mississippi,Harrison,Hispanic,White,0
Mississippi,Harrison,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Harrison,Hispanic,Asian,0
Mississippi,Harrison,Hispanic,Other,0
Mississippi,Harrison,Hispanic,Unknown,0
Mississippi,Harrison,Unknown,African-American,0
Mississippi,Harrison,Unknown,White,1
Mississippi,Harrison,Unknown,American-Indian-Alaska-Native,0
Mississippi,Harrison,Unknown,Asian,0
Mississippi,Harrison,Unknown,Other,0
Mississippi,Harrison,Unknown,Unknown,0
Mississippi,Hinds,Total,NA,39
Mississippi,Hinds,Non-Hispanic,African-American,25
Mississippi,Hinds,Non-Hispanic,White,9
Mississippi,Hinds,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Hinds,Non-Hispanic,Asian,0
Mississippi,Hinds,Non-Hispanic,Other,2
Mississippi,Hinds,Non-Hispanic,Unknown,0
Mississippi,Hinds,Hispanic,African-American,0
Mississippi,Hinds,Hispanic,White,0
Mississippi,Hinds,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Hinds,Hispanic,Asian,0
Mississippi,Hinds,Hispanic,Other,1
Mississippi,Hinds,Hispanic,Unknown,0
